NAD-SAN,affine,"{""alpha"": 3.162277660168379e-08}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.162,24.443,23.091,21.776,22.742,23.962,26.549,26.046,23.029,20.81,21.46
NAD-SAN,affine,"{""alpha"": 1e-07}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.124,24.439,23.086,21.765,22.718,23.927,26.498,26.008,22.992,20.782,21.414
NAD-SAN,affine,"{""alpha"": 3.162277660168379e-07}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.01,24.429,23.072,21.729,22.642,23.817,26.34,25.89,22.879,20.694,21.278
NAD-SAN,affine,"{""alpha"": 1e-06}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,20.706,24.396,23.026,21.618,22.411,23.486,25.876,25.548,22.555,20.447,20.926
NAD-SAN,affine,"{""alpha"": 3.162277660168379e-06}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,20.142,24.296,22.888,21.283,21.753,22.567,24.713,24.71,21.787,19.895,20.341
NAD-SAN,affine,"{""alpha"": 1e-05}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,19.743,24.016,22.504,20.371,20.233,20.593,22.772,23.34,20.672,19.192,20.147
NAD-SAN,affine,"{""alpha"": 3.1622776601683795e-05}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,19.459,23.348,21.61,18.496,18.09,18.305,21.039,22.131,19.866,18.704,19.981
NAD-SAN,affine,"{""alpha"": 0.0001}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,18.62,22.018,19.971,16.509,16.513,17.39,19.961,21.586,19.351,18.193,18.874
NAD-SAN,affine,"{""alpha"": 0.00031622776601683794}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,17.658,19.768,17.678,15.742,15.421,16.995,19.328,21.107,18.912,17.546,17.684
NAD-SAN,affine,"{""alpha"": 0.001}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,16.751,17.049,15.399,14.754,14.002,16.402,18.605,20.309,18.303,16.571,16.886
NAD-SAN,affine,"{""alpha"": 0.0031622776601683794}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,15.809,14.585,13.731,12.711,12.489,15.506,17.546,19.149,17.412,15.445,16.09
NAD-SAN,affine,"{""alpha"": 0.01}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,15.157,12.382,12.247,10.529,11.306,14.173,16.404,17.852,16.205,14.586,15.556
NAD-SAN,affine,"{""alpha"": 0.03162277660168379}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,14.418,10.292,10.957,8.856,10.346,12.762,15.658,16.511,15.091,13.608,15.055
NAD-SAN,affine,"{""alpha"": 0.1}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,13.632,8.505,9.67,7.796,9.824,11.973,15.817,15.364,14.75,12.79,14.4
NAD-SAN,affine,"{""alpha"": 0.31622776601683794}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,inf,7.63,8.389,7.294,inf,inf,inf,inf,inf,inf,inf
NAD-SAN,affine,"{""alpha"": 1.0}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,nan,inf,inf,nan,nan,nan,nan,nan,nan,nan,nan
NAD-SAN,affine,"{""alpha"": 3.1622776601683795}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NAD-EAN,affine,"{""alpha"": 1e-08, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.228,24.503,23.145,21.831,22.802,24.035,26.634,26.124,23.097,20.869,21.531
NAD-EAN,affine,"{""alpha"": 3.162277660168379e-08, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.214,24.502,23.142,21.825,22.794,24.025,26.622,26.11,23.082,20.855,21.517
NAD-EAN,affine,"{""alpha"": 1e-07, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.171,24.498,23.131,21.807,22.769,23.995,26.586,26.067,23.035,20.81,21.475
NAD-EAN,affine,"{""alpha"": 3.162277660168379e-07, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,21.037,24.485,23.095,21.751,22.692,23.9,26.473,25.93,22.889,20.67,21.344
NAD-EAN,affine,"{""alpha"": 1e-06, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,20.627,24.447,22.984,21.573,22.448,23.603,26.121,25.506,22.437,20.241,20.946
NAD-EAN,affine,"{""alpha"": 3.162277660168379e-06, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,19.484,24.326,22.636,21.025,21.7,22.701,25.06,24.238,21.111,19.023,19.847
NAD-EAN,affine,"{""alpha"": 1e-05, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,17.097,23.95,21.583,19.407,19.552,20.194,22.196,20.891,17.815,16.335,17.633
NAD-EAN,affine,"{""alpha"": 3.1622776601683795e-05, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,15.217,22.837,18.668,15.321,14.561,14.954,16.707,14.907,13.197,13.99,15.964
NAD-EAN,affine,"{""alpha"": 0.0001, ""tau"": 100}",Arsalan,RSS1,20,1100000,,900k,1.1m,2025-05-01,,,,,,13.73,19.961,12.651,9.229,8.847,10.354,12.391,10.81,11.687,13.287,13.915
